October 2022 Contiguous U.S. County Average Temperature,a,a,a,a,a,a,a,a
NC-139,"Pasquotank County, NC",60,36,-1.2,61.2,Pasquotank County,NC,", "
NC-141,"Pender County, NC",61.4,34,-1.5,62.9,Pender County,NC,", "
NC-143,"Perquimans County, NC",60,37,-1.1,61.1,Perquimans County,NC,", "
NC-145,"Person County, NC",55.8,29,-2.1,57.9,Person County,NC,", "
NC-147,"Pitt County, NC",59.8,29,-1.9,61.7,Pitt County,NC,", "
NC-149,"Polk County, NC",57.7,34,-1.4,59.1,Polk County,NC,", "
NC-151,"Randolph County, NC",57.3,23,-2.3,59.6,Randolph County,NC,", "
NC-153,"Richmond County, NC",60.2,40,-1.3,61.5,Richmond County,NC,", "
NC-155,"Robeson County, NC",61.3,41,-1.2,62.5,Robeson County,NC,", "
NC-157,"Rockingham County, NC",55.6,18,-2.6,58.2,Rockingham County,NC,", "
NC-159,"Rowan County, NC",56.8,27,-2.3,59.1,Rowan County,NC,", "
NC-161,"Rutherford County, NC",57,24,-2,59,Rutherford County,NC,", "
NC-163,"Sampson County, NC",60.7,42,-1.1,61.8,Sampson County,NC,", "
NC-165,"Scotland County, NC",60.8,45,-1,61.8,Scotland County,NC,", "
NC-167,"Stanly County, NC",58.8,31,-1.9,60.7,Stanly County,NC,", "
NC-169,"Stokes County, NC",55.1,25,-2.2,57.3,Stokes County,NC,", "
NC-171,"Surry County, NC",54.6,30,-1.8,56.4,Surry County,NC,", "
NC-173,"Swain County, NC",49.8,13,-3.1,52.9,Swain County,NC,", "
NC-175,"Transylvania County, NC",52.2,26,-1.9,54.1,Transylvania County,NC,", "
NC-177,"Tyrrell County, NC",61.1,31,-1.6,62.7,Tyrrell County,NC,", "
NC-179,"Union County, NC",58.9,30,-1.8,60.7,Union County,NC,", "
NC-181,"Vance County, NC",56.9,34,-1.5,58.4,Vance County,NC,", "
NC-183,"Wake County, NC",58.4,31,-1.6,60,Wake County,NC,", "
NC-185,"Warren County, NC",57,31,-1.7,58.7,Warren County,NC,", "
NC-187,"Washington County, NC",60.4,36,-1.2,61.6,Washington County,NC,", "
NC-189,"Watauga County, NC",48.7,19,-2.6,51.3,Watauga County,NC,", "
NC-191,"Wayne County, NC",59.7,32,-1.7,61.4,Wayne County,NC,", "
NC-193,"Wilkes County, NC",54.8,28,-1.8,56.6,Wilkes County,NC,", "
NC-195,"Wilson County, NC",59.1,31,-1.7,60.8,Wilson County,NC,", "
NC-197,"Yadkin County, NC",55.8,34,-1.8,57.6,Yadkin County,NC,", "
NC-199,"Yancey County, NC",49.1,19,-2.6,51.7,Yancey County,NC,", "
ND-001,"Adams County, ND",47.4,107,2.8,44.6,Adams County,ND,", "
ND-003,"Barnes County, ND",45.7,83,1.5,44.2,Barnes County,ND,", "
ND-005,"Benson County, ND",44.6,87,1.7,42.9,Benson County,ND,", "
ND-007,"Billings County, ND",47,100,2.4,44.6,Billings County,ND,", "
ND-009,"Bottineau County, ND",45,95,2.4,42.6,Bottineau County,ND,", "
ND-011,"Bowman County, ND",46.9,98,2.2,44.7,Bowman County,ND,", "
ND-013,"Burke County, ND",44.5,97,2.2,42.3,Burke County,ND,", "
ND-015,"Burleigh County, ND",46.5,92,2,44.5,Burleigh County,ND,", "
ND-017,"Cass County, ND",46,71,0.8,45.2,Cass County,ND,", "
ND-019,"Cavalier County, ND",43.9,95,2.4,41.5,Cavalier County,ND,", "
ND-021,"Dickey County, ND",46.2,78,0.8,45.4,Dickey County,ND,", "
ND-023,"Divide County, ND",44.6,99,2.4,42.2,Divide County,ND,", "
ND-025,"Dunn County, ND",47,100,2.4,44.6,Dunn County,ND,", "
ND-027,"Eddy County, ND",45.3,86,1.8,43.5,Eddy County,ND,", "
ND-029,"Emmons County, ND",47.1,87,1.6,45.5,Emmons County,ND,", "
ND-031,"Foster County, ND",45.5,86,1.7,43.8,Foster County,ND,", "
ND-033,"Golden Valley County, ND",46.8,96,2,44.8,Golden Valley County,ND,", "
ND-035,"Grand Forks County, ND",45.9,84,1.7,44.2,Grand Forks County,ND,", "
ND-037,"Grant County, ND",47.5,99,2.4,45.1,Grant County,ND,", "
ND-039,"Griggs County, ND",44.7,80,1.3,43.4,Griggs County,ND,", "
ND-041,"Hettinger County, ND",47.2,105,2.8,44.4,Hettinger County,ND,", "
ND-043,"Kidder County, ND",45.2,80,1.3,43.9,Kidder County,ND,", "
ND-045,"LaMoure County, ND",46.2,81,1.2,45,LaMoure County,ND,", "
ND-047,"Logan County, ND",45.3,76,1,44.3,Logan County,ND,", "
ND-049,"McHenry County, ND",45.7,93,1.9,43.8,McHenry County,ND,", "
ND-051,"McIntosh County, ND",45.7,81,1,44.7,McIntosh County,ND,", "
ND-053,"McKenzie County, ND",46.6,98,2.3,44.3,McKenzie County,ND,", "
ND-055,"McLean County, ND",46.6,98,2.2,44.4,McLean County,ND,", "
ND-057,"Mercer County, ND",47.4,101,2.4,45,Mercer County,ND,", "
ND-059,"Morton County, ND",47.4,101,2.4,45,Morton County,ND,", "
ND-061,"Mountrail County, ND",45.4,97,2.2,43.2,Mountrail County,ND,", "
ND-063,"Nelson County, ND",44.4,82,1.6,42.8,Nelson County,ND,", "
ND-065,"Oliver County, ND",47.2,101,2.2,45,Oliver County,ND,", "
ND-067,"Pembina County, ND",45.6,96,2.5,43.1,Pembina County,ND,", "
ND-069,"Pierce County, ND",44.4,91,1.8,42.6,Pierce County,ND,", "
ND-071,"Ramsey County, ND",44.6,91,2,42.6,Ramsey County,ND,", "
ND-073,"Ransom County, ND",46.2,74,0.7,45.5,Ransom County,ND,", "
ND-075,"Renville County, ND",45.7,99,2.4,43.3,Renville County,ND,", "
ND-077,"Richland County, ND",46.9,75,0.8,46.1,Richland County,ND,", "
ND-079,"Rolette County, ND",43.3,92,2.2,41.1,Rolette County,ND,", "
ND-081,"Sargent County, ND",46.3,73,0.4,45.9,Sargent County,ND,", "
ND-083,"Sheridan County, ND",45.8,94,2.1,43.7,Sheridan County,ND,", "
ND-085,"Sioux County, ND",47.7,95,2,45.7,Sioux County,ND,", "
ND-087,"Slope County, ND",47.1,100,2.2,44.9,Slope County,ND,", "
ND-089,"Stark County, ND",47.2,103,2.7,44.5,Stark County,ND,", "
ND-091,"Steele County, ND",44.5,67,0.4,44.1,Steele County,ND,", "
ND-093,"Stutsman County, ND",45.8,82,1.6,44.2,Stutsman County,ND,", "
ND-095,"Towner County, ND",43.9,97,2.5,41.4,Towner County,ND,", "
ND-097,"Traill County, ND",45.6,69,0.5,45.1,Traill County,ND,", "
ND-099,"Walsh County, ND",45.5,92,2.2,43.3,Walsh County,ND,", "
ND-101,"Ward County, ND",46,97,2.2,43.8,Ward County,ND,", "
ND-103,"Wells County, ND",45.1,84,1.7,43.4,Wells County,ND,", "
ND-105,"Williams County, ND",45.8,100,2.6,43.2,Williams County,ND,", "
OH-001,"Adams County, OH",52.8,32,-1.6,54.4,Adams County,OH,", "
OH-003,"Allen County, OH",53.5,74,0.8,52.7,Allen County,OH,", "
OH-005,"Ashland County, OH",51,48,-0.4,51.4,Ashland County,OH,", "
OH-007,"Ashtabula County, OH",51,59,0.2,50.8,Ashtabula County,OH,", "
OH-009,"Athens County, OH",51.8,29,-2,53.8,Athens County,OH,", "
OH-011,"Auglaize County, OH",53.2,69,0.5,52.7,Auglaize County,OH,", "
OH-013,"Belmont County, OH",50.3,24,-2.4,52.7,Belmont County,OH,", "
OH-015,"Brown County, OH",53,40,-1.2,54.2,Brown County,OH,", "
OH-017,"Butler County, OH",53.3,41,-0.9,54.2,Butler County,OH,", "
OH-019,"Carroll County, OH",50.3,35,-1.2,51.5,Carroll County,OH,", "
OH-021,"Champaign County, OH",52.6,56,-0.1,52.7,Champaign County,OH,", "
OH-023,"Clark County, OH",53.4,68,0.2,53.2,Clark County,OH,", "
OH-025,"Clermont County, OH",53.6,38,-1.1,54.7,Clermont County,OH,", "
OH-027,"Clinton County, OH",53.8,67,0.4,53.4,Clinton County,OH,", "
OH-029,"Columbiana County, OH",49.8,34,-1.5,51.3,Columbiana County,OH,", "
OH-031,"Coshocton County, OH",51,37,-1.2,52.2,Coshocton County,OH,", "
OH-033,"Crawford County, OH",52.2,60,0.3,51.9,Crawford County,OH,", "
OH-035,"Cuyahoga County, OH",52.9,57,0.2,52.7,Cuyahoga County,OH,", "
OH-037,"Darke County, OH",52.6,53,-0.2,52.8,Darke County,OH,", "
OH-039,"Defiance County, OH",52.5,70,0.4,52.1,Defiance County,OH,", "
OH-041,"Delaware County, OH",51.9,38,-1.2,53.1,Delaware County,OH,", "
OH-043,"Erie County, OH",52.7,42,-0.8,53.5,Erie County,OH,", "
OH-045,"Fairfield County, OH",51.3,30,-2,53.3,Fairfield County,OH,", "
OH-047,"Fayette County, OH",53.5,60,0.1,53.4,Fayette County,OH,", "
OH-049,"Franklin County, OH",52.6,36,-1.3,53.9,Franklin County,OH,", "
OH-051,"Fulton County, OH",52.3,71,0.7,51.6,Fulton County,OH,", "
OH-053,"Gallia County, OH",52.5,22,-2.4,54.9,Gallia County,OH,", "
OH-055,"Geauga County, OH",50.5,54,-0.1,50.6,Geauga County,OH,", "
OH-057,"Greene County, OH",54.2,74,0.7,53.5,Greene County,OH,", "
OH-059,"Guernsey County, OH",51.3,34,-1.3,52.6,Guernsey County,OH,", "
OH-061,"Hamilton County, OH",54,38,-1.2,55.2,Hamilton County,OH,", "
OH-063,"Hancock County, OH",53.9,82,1.4,52.5,Hancock County,OH,", "
OH-065,"Hardin County, OH",53.4,77,0.9,52.5,Hardin County,OH,", "
OH-067,"Harrison County, OH",50.3,32,-1.8,52.1,Harrison County,OH,", "
OH-069,"Henry County, OH",53.2,79,1,52.2,Henry County,OH,", "
OH-071,"Highland County, OH",53.3,50,-0.4,53.7,Highland County,OH,", "
OH-073,"Hocking County, OH",51.2,28,-2.1,53.3,Hocking County,OH,", "
OH-075,"Holmes County, OH",51,44,-0.6,51.6,Holmes County,OH,", "
OH-077,"Huron County, OH",51.8,44,-0.6,52.4,Huron County,OH,", "
OH-079,"Jackson County, OH",52.1,30,-1.9,54,Jackson County,OH,", "
OH-081,"Jefferson County, OH",50.1,26,-2.4,52.5,Jefferson County,OH,", "
OH-083,"Knox County, OH",50.1,34,-1.6,51.7,Knox County,OH,", "
OH-085,"Lake County, OH",52.2,56,0,52.2,Lake County,OH,", "
OH-087,"Lawrence County, OH",53.4,32,-1.6,55,Lawrence County,OH,", "
OH-089,"Licking County, OH",50.6,30,-1.8,52.4,Licking County,OH,", "
OH-091,"Logan County, OH",52.2,54,-0.2,52.4,Logan County,OH,", "
OH-093,"Lorain County, OH",52.2,43,-0.8,53,Lorain County,OH,", "
OH-095,"Lucas County, OH",54.1,84,1.4,52.7,Lucas County,OH,", "
OH-097,"Madison County, OH",53,53,-0.3,53.3,Madison County,OH,", "
OH-099,"Mahoning County, OH",50.1,46,-0.7,50.8,Mahoning County,OH,", "
OH-101,"Marion County, OH",52.8,63,0.2,52.6,Marion County,OH,", "
OH-103,"Medina County, OH",52,54,0,52,Medina County,OH,", "
OH-105,"Meigs County, OH",52,24,-2.4,54.4,Meigs County,OH,", "
OH-107,"Mercer County, OH",53.3,71,0.6,52.7,Mercer County,OH,", "
OH-109,"Miami County, OH",53.9,73,0.6,53.3,Miami County,OH,", "
OH-111,"Monroe County, OH",50.1,18,-3.2,53.3,Monroe County,OH,", "
OH-113,"Montgomery County, OH",54.1,68,0.4,53.7,Montgomery County,OH,", "
OH-115,"Morgan County, OH",51.5,29,-1.9,53.4,Morgan County,OH,", "
OH-117,"Morrow County, OH",51,43,-0.7,51.7,Morrow County,OH,", "
OH-119,"Muskingum County, OH",51.5,35,-1.3,52.8,Muskingum County,OH,", "
OH-121,"Noble County, OH",51.1,27,-2.1,53.2,Noble County,OH,", "
OH-123,"Ottawa County, OH",53.8,67,0.3,53.5,Ottawa County,OH,", "
OH-125,"Paulding County, OH",53,72,0.4,52.6,Paulding County,OH,", "
OH-127,"Perry County, OH",51,32,-1.8,52.8,Perry County,OH,", "
OH-129,"Pickaway County, OH",52.8,35,-1.4,54.2,Pickaway County,OH,", "
OH-131,"Pike County, OH",52.5,31,-1.6,54.1,Pike County,OH,", "
OH-133,"Portage County, OH",51.2,58,0.3,50.9,Portage County,OH,", "
OH-135,"Preble County, OH",52.2,46,-0.7,52.9,Preble County,OH,", "
OH-137,"Putnam County, OH",53.6,78,0.9,52.7,Putnam County,OH,", "
OH-139,"Richland County, OH",51,52,-0.1,51.1,Richland County,OH,", "
OH-141,"Ross County, OH",52.6,34,-1.4,54,Ross County,OH,", "
OH-143,"Sandusky County, OH",53.4,57,0.2,53.2,Sandusky County,OH,", "
OH-145,"Scioto County, OH",52.6,30,-1.9,54.5,Scioto County,OH,", "
OH-147,"Seneca County, OH",53.1,70,0.5,52.6,Seneca County,OH,", "
OH-149,"Shelby County, OH",53.1,69,0.4,52.7,Shelby County,OH,", "
OH-151,"Stark County, OH",51.9,62,0.5,51.4,Stark County,OH,", "
OH-153,"Summit County, OH",52.7,70,0.8,51.9,Summit County,OH,", "
OH-155,"Trumbull County, OH",50.4,53,-0.3,50.7,Trumbull County,OH,", "
OH-157,"Tuscarawas County, OH",51.2,41,-0.8,52,Tuscarawas County,OH,", "
OH-159,"Union County, OH",52.4,46,-0.6,53,Union County,OH,", "
OH-161,"Van Wert County, OH",53.5,77,0.8,52.7,Van Wert County,OH,", "
OH-163,"Vinton County, OH",51.6,28,-2,53.6,Vinton County,OH,", "
OH-165,"Warren County, OH",54,55,-0.2,54.2,Warren County,OH,", "
OH-167,"Washington County, OH",51.9,28,-2.3,54.2,Washington County,OH,", "
OH-169,"Wayne County, OH",51.4,48,-0.3,51.7,Wayne County,OH,", "
OH-171,"Williams County, OH",51.5,62,0.1,51.4,Williams County,OH,", "
OH-173,"Wood County, OH",53.9,78,1.1,52.8,Wood County,OH,", "
OH-175,"Wyandot County, OH",53.6,78,1,52.6,Wyandot County,OH,", "
OK-001,"Adair County, OK",60,54,-0.6,60.6,Adair County,OK,", "
OK-003,"Alfalfa County, OK",62,98,1.8,60.2,Alfalfa County,OK,", "
OK-005,"Atoka County, OK",63.2,55,-0.5,63.7,Atoka County,OK,", "
OK-007,"Beaver County, OK",59.8,91,1.2,58.6,Beaver County,OK,", "
OK-009,"Beckham County, OK",61,57,0,61,Beckham County,OK,", "
OK-011,"Blaine County, OK",62,83,0.9,61.1,Blaine County,OK,", "
OK-013,"Bryan County, OK",64.7,70,0.3,64.4,Bryan County,OK,", "
OK-015,"Caddo County, OK",62.1,63,0.2,61.9,Caddo County,OK,", "
OK-017,"Canadian County, OK",62.2,76,0.6,61.6,Canadian County,OK,", "
OK-019,"Carter County, OK",63.8,58,-0.4,64.2,Carter County,OK,", "
OK-021,"Cherokee County, OK",61.6,68,0,61.6,Cherokee County,OK,", "
OK-023,"Choctaw County, OK",63.3,53,-0.6,63.9,Choctaw County,OK,", "
OK-025,"Cimarron County, OK",57.1,92,1.2,55.9,Cimarron County,OK,", "
OK-027,"Cleveland County, OK",62.6,61,0,62.6,Cleveland County,OK,", "
OK-029,"Coal County, OK",63.1,54,-0.6,63.7,Coal County,OK,", "
OK-031,"Comanche County, OK",63.4,69,0.3,63.1,Comanche County,OK,", "
OK-033,"Cotton County, OK",65,81,0.9,64.1,Cotton County,OK,", "
OK-035,"Craig County, OK",61.3,75,0.3,61,Craig County,OK,", "
OK-037,"Creek County, OK",62,70,0,62,Creek County,OK,", "
OK-039,"Custer County, OK",60.7,57,0,60.7,Custer County,OK,", "
OK-041,"Delaware County, OK",59.8,49,-0.8,60.6,Delaware County,OK,", "
OK-043,"Dewey County, OK",61,78,0.9,60.1,Dewey County,OK,", "
OK-045,"Ellis County, OK",60.4,90,1.2,59.2,Ellis County,OK,", "
OK-047,"Garfield County, OK",62.4,93,1.5,60.9,Garfield County,OK,", "
OK-049,"Garvin County, OK",62.9,59,-0.4,63.3,Garvin County,OK,", "
OK-051,"Grady County, OK",62.6,69,0.3,62.3,Grady County,OK,", "
OK-053,"Grant County, OK",62.2,100,1.8,60.4,Grant County,OK,", "
OK-055,"Greer County, OK",62.5,67,0.4,62.1,Greer County,OK,", "
OK-057,"Harmon County, OK",63,73,0.6,62.4,Harmon County,OK,", "
OK-059,"Harper County, OK",60.3,83,0.9,59.4,Harper County,OK,", "
OK-061,"Haskell County, OK",63,67,0,63,Haskell County,OK,", "
OK-063,"Hughes County, OK",62.5,55,-0.6,63.1,Hughes County,OK,", "
OK-065,"Jackson County, OK",63.8,73,0.7,63.1,Jackson County,OK,", "
OK-067,"Jefferson County, OK",64.6,64,0,64.6,Jefferson County,OK,", "
OK-069,"Johnston County, OK",63.8,66,-0.2,64,Johnston County,OK,", "
OK-071,"Kay County, OK",61.8,88,1.2,60.6,Kay County,OK,", "
OK-073,"Kingfisher County, OK",62.6,79,0.7,61.9,Kingfisher County,OK,", "
OK-075,"Kiowa County, OK",62.6,68,0.3,62.3,Kiowa County,OK,", "
OK-077,"Latimer County, OK",62.1,56,-0.6,62.7,Latimer County,OK,", "
OK-079,"Le Flore County, OK",61.8,66,-0.1,61.9,Le Flore County,OK,", "
OK-081,"Lincoln County, OK",62.3,67,0,62.3,Lincoln County,OK,", "
OK-083,"Logan County, OK",62.3,73,0.4,61.9,Logan County,OK,", "
OK-085,"Love County, OK",64.9,67,0,64.9,Love County,OK,", "
OK-087,"McClain County, OK",62.7,60,0.1,62.6,McClain County,OK,", "
OK-089,"McCurtain County, OK",62.3,60,-0.2,62.5,McCurtain County,OK,", "
OK-091,"McIntosh County, OK",63.2,69,0,63.2,McIntosh County,OK,", "
OK-093,"Major County, OK",62.2,95,1.5,60.7,Major County,OK,", "
OK-095,"Marshall County, OK",65,73,0.3,64.7,Marshall County,OK,", "
OK-097,"Mayes County, OK",61.7,70,-0.1,61.8,Mayes County,OK,", "
OK-099,"Murray County, OK",63.2,57,-0.5,63.7,Murray County,OK,", "
OK-101,"Muskogee County, OK",63.2,74,0.2,63,Muskogee County,OK,", "
OK-103,"Noble County, OK",62.2,86,0.9,61.3,Noble County,OK,", "
OK-105,"Nowata County, OK",61.3,77,0.3,61,Nowata County,OK,", "
OK-107,"Okfuskee County, OK",62.4,60,-0.3,62.7,Okfuskee County,OK,", "
OK-109,"Oklahoma County, OK",62.5,70,0.3,62.2,Oklahoma County,OK,", "
OK-111,"Okmulgee County, OK",62.7,66,-0.2,62.9,Okmulgee County,OK,", "
OK-113,"Osage County, OK",61.1,76,0.3,60.8,Osage County,OK,", "
OK-115,"Ottawa County, OK",60.6,69,0,60.6,Ottawa County,OK,", "
OK-117,"Pawnee County, OK",61.8,83,0.4,61.4,Pawnee County,OK,", "
OK-119,"Payne County, OK",62.1,79,0.4,61.7,Payne County,OK,", "
OK-121,"Pittsburg County, OK",62.7,53,-0.6,63.3,Pittsburg County,OK,", "
OK-123,"Pontotoc County, OK",62.7,55,-0.6,63.3,Pontotoc County,OK,", "
OK-125,"Pottawatomie County, OK",62.6,64,-0.1,62.7,Pottawatomie County,OK,", "
OK-127,"Pushmataha County, OK",62,47,-0.8,62.8,Pushmataha County,OK,", "
OK-129,"Roger Mills County, OK",60.6,72,0.5,60.1,Roger Mills County,OK,", "
OK-131,"Rogers County, OK",61.9,74,0.1,61.8,Rogers County,OK,", "
OK-133,"Seminole County, OK",62.4,56,-0.4,62.8,Seminole County,OK,", "
OK-135,"Sequoyah County, OK",62.5,69,0.1,62.4,Sequoyah County,OK,", "
OK-137,"Stephens County, OK",63.4,58,-0.1,63.5,Stephens County,OK,", "
OK-139,"Texas County, OK",59.2,98,1.6,57.6,Texas County,OK,", "
OK-141,"Tillman County, OK",64.7,79,0.9,63.8,Tillman County,OK,", "
OK-143,"Tulsa County, OK",62.1,72,0,62.1,Tulsa County,OK,", "
OK-145,"Wagoner County, OK",62.7,73,0,62.7,Wagoner County,OK,", "
OK-147,"Washington County, OK",61.1,72,0.2,60.9,Washington County,OK,", "
OK-149,"Washita County, OK",61.2,51,-0.3,61.5,Washita County,OK,", "
OK-151,"Woods County, OK",60.7,85,1.1,59.6,Woods County,OK,", "
OK-153,"Woodward County, OK",60.6,87,1,59.6,Woodward County,OK,", "
OR-001,"Baker County, OR",51.8,126,5.8,46,Baker County,OR,", "
OR-003,"Benton County, OR",58.7,128,5.5,53.2,Benton County,OR,", "
OR-005,"Clackamas County, OR",56.3,128,7.1,49.2,Clackamas County,OR,", "
OR-007,"Clatsop County, OR",56.6,128,5.5,51.1,Clatsop County,OR,", "
OR-009,"Columbia County, OR",57.4,128,6.1,51.3,Columbia County,OR,", "
OR-011,"Coos County, OR",59.9,128,6.2,53.7,Coos County,OR,", "
OR-013,"Crook County, OR",53,127,6.6,46.4,Crook County,OR,", "
OR-015,"Curry County, OR",61,128,6.9,54.1,Curry County,OR,", "
OR-017,"Deschutes County, OR",51.5,127,6.5,45,Deschutes County,OR,", "
OR-019,"Douglas County, OR",58.3,128,6.4,51.9,Douglas County,OR,", "
OR-021,"Gilliam County, OR",57,128,6.9,50.1,Gilliam County,OR,", "
OR-023,"Grant County, OR",51.1,126,6.2,44.9,Grant County,OR,", "
OR-025,"Harney County, OR",52.1,126,6,46.1,Harney County,OR,", "
OR-027,"Hood River County, OR",54.4,128,8,46.4,Hood River County,OR,", "
OR-029,"Jackson County, OR",58.4,126,7.1,51.3,Jackson County,OR,", "
OR-031,"Jefferson County, OR",54.8,127,7,47.8,Jefferson County,OR,", "
OR-033,"Josephine County, OR",60.2,128,8.2,52,Josephine County,OR,", "
OR-035,"Klamath County, OR",52.5,127,7.5,45,Klamath County,OR,", "
OR-037,"Lake County, OR",52.2,126,6.7,45.5,Lake County,OR,", "
OR-039,"Lane County, OR",57.3,128,6.2,51.1,Lane County,OR,", "
OR-041,"Lincoln County, OR",59,128,5.7,53.3,Lincoln County,OR,", "
OR-043,"Linn County, OR",56.5,128,6.3,50.2,Linn County,OR,", "
OR-045,"Malheur County, OR",53.1,125,5,48.1,Malheur County,OR,", "
OR-047,"Marion County, OR",57.2,128,6.7,50.5,Marion County,OR,", "
OR-049,"Morrow County, OR",55.9,127,6.5,49.4,Morrow County,OR,", "
OR-051,"Multnomah County, OR",58.4,128,6.5,51.9,Multnomah County,OR,", "
OR-053,"Polk County, OR",59.6,128,7,52.6,Polk County,OR,", "
OR-055,"Sherman County, OR",57.4,128,7.2,50.2,Sherman County,OR,", "
OR-057,"Tillamook County, OR",58.2,128,7.2,51,Tillamook County,OR,", "
OR-059,"Umatilla County, OR",55.1,127,6.7,48.4,Umatilla County,OR,", "
OR-061,"Union County, OR",50.9,126,6,44.9,Union County,OR,", "
OR-063,"Wallowa County, OR",50.2,126,6,44.2,Wallowa County,OR,", "
OR-065,"Wasco County, OR",56.5,128,7.7,48.8,Wasco County,OR,", "
OR-067,"Washington County, OR",58.4,128,6.9,51.5,Washington County,OR,", "
OR-069,"Wheeler County, OR",56,127,8,48,Wheeler County,OR,", "
OR-071,"Yamhill County, OR",59.2,128,6.7,52.5,Yamhill County,OR,", "
PA-001,"Adams County, PA",51.9,37,-1.5,53.4,Adams County,PA,", "
PA-003,"Allegheny County, PA",51.1,31,-1.8,52.9,Allegheny County,PA,", "
PA-005,"Armstrong County, PA",49,29,-2.2,51.2,Armstrong County,PA,", "
PA-007,"Beaver County, PA",50.2,27,-2.1,52.3,Beaver County,PA,", "
PA-009,"Bedford County, PA",49.8,32,-1.8,51.6,Bedford County,PA,", "
PA-011,"Berks County, PA",51.7,43,-1.1,52.8,Berks County,PA,", "
PA-013,"Blair County, PA",49,35,-1.9,50.9,Blair County,PA,", "
PA-015,"Bradford County, PA",47.5,44,-1.1,48.6,Bradford County,PA,", "
PA-017,"Bucks County, PA",53,56,-0.2,53.2,Bucks County,PA,", "
PA-019,"Butler County, PA",49.1,28,-2,51.1,Butler County,PA,", "
PA-021,"Cambria County, PA",47.3,29,-2.1,49.4,Cambria County,PA,", "
PA-023,"Cameron County, PA",48.6,48,-0.7,49.3,Cameron County,PA,", "
PA-025,"Carbon County, PA",48.9,53,-0.2,49.1,Carbon County,PA,", "
PA-027,"Centre County, PA",49,36,-1.7,50.7,Centre County,PA,", "
PA-029,"Chester County, PA",52.8,41,-1,53.8,Chester County,PA,", "
PA-031,"Clarion County, PA",48,32,-1.7,49.7,Clarion County,PA,", "
PA-033,"Clearfield County, PA",47.9,36,-1.5,49.4,Clearfield County,PA,", "
PA-035,"Clinton County, PA",49,44,-1.2,50.2,Clinton County,PA,", "
PA-037,"Columbia County, PA",49.2,46,-1,50.2,Columbia County,PA,", "
PA-039,"Crawford County, PA",49.2,53,-0.2,49.4,Crawford County,PA,", "
PA-041,"Cumberland County, PA",52.2,46,-0.9,53.1,Cumberland County,PA,", "
PA-043,"Dauphin County, PA",52.2,55,-0.2,52.4,Dauphin County,PA,", "
PA-045,"Delaware County, PA",55,50,-0.5,55.5,Delaware County,PA,", "
PA-047,"Elk County, PA",48,52,-0.2,48.2,Elk County,PA,", "
PA-049,"Erie County, PA",49.5,48,-0.5,50,Erie County,PA,", "
PA-051,"Fayette County, PA",48.9,22,-3.2,52.1,Fayette County,PA,", "
PA-053,"Forest County, PA",47.5,39,-1.2,48.7,Forest County,PA,", "
PA-055,"Franklin County, PA",51.3,33,-1.7,53,Franklin County,PA,", "
PA-057,"Fulton County, PA",50.8,35,-1.7,52.5,Fulton County,PA,", "
PA-059,"Greene County, PA",49.8,23,-2.9,52.7,Greene County,PA,", "
PA-061,"Huntingdon County, PA",50.4,36,-1.6,52,Huntingdon County,PA,", "
PA-063,"Indiana County, PA",48.4,31,-2.3,50.7,Indiana County,PA,", "
PA-065,"Jefferson County, PA",48.1,44,-0.9,49,Jefferson County,PA,", "
PA-067,"Juniata County, PA",51,36,-1.7,52.7,Juniata County,PA,", "
PA-069,"Lackawanna County, PA",49,66,0.4,48.6,Lackawanna County,PA,", "
PA-071,"Lancaster County, PA",52.6,45,-0.8,53.4,Lancaster County,PA,", "
PA-073,"Lawrence County, PA",49.8,34,-1.5,51.3,Lawrence County,PA,", "
PA-075,"Lebanon County, PA",52.1,57,-0.2,52.3,Lebanon County,PA,", "
PA-077,"Lehigh County, PA",51.5,54,-0.4,51.9,Lehigh County,PA,", "
PA-079,"Luzerne County, PA",48.9,56,-0.2,49.1,Luzerne County,PA,", "
PA-081,"Lycoming County, PA",48.7,48,-0.9,49.6,Lycoming County,PA,", "
PA-083,"McKean County, PA",47.5,56,-0.1,47.6,McKean County,PA,", "
